Run,Total Frames,Joint,Min Value,Min Frame,Max Gradient,Max Grad Frame
1,76,Ankle,86.12319688654921,50,5.439122233087346,75,76
1,76,Ankle,86.5008359717402,42,6.1019646862317884,70,76
2,74,Ankle,88.64213116485364,42,5.358123847420288,71,74
2,74,Ankle,90.51568716941192,35,5.006844449506225,68,74
3,74,Ankle,87.19363832033423,40,5.554382439431599,66,74
3,74,Ankle,86.52595665910343,44,5.005089199065893,73,74
4,71,Ankle,89.27940407803915,36,5.796863730504448,63,71
4,71,Ankle,89.57497914551091,35,4.181839602354785,67,71
5,70,Ankle,89.11062388955936,37,5.042316412902807,67,70
5,70,Ankle,89.73075814706745,41,5.760912808292105,72,70
1,76,Knee,109.53843253996224,47,3.59675981756601,70,76
1,76,Knee,109.93319816524028,47,3.473379209261651,70,76
2,74,Knee,115.37455490158719,44,3.7162011544012046,73,74
2,74,Knee,112.07025006861403,42,3.0618539273656467,69,74
3,74,Knee,110.72525466208371,40,3.3207642649400384,66,74
3,74,Knee,109.61614266292048,44,3.2347014596170283,72,74
4,71,Knee,109.96442219873735,40,3.4330486381895753,63,71
4,71,Knee,111.93024416241134,43,3.1198603012114177,69,71
5,70,Knee,109.73705297765169,41,3.817201000918658,67,70
5,70,Knee,111.3048939594407,47,3.5548548998629315,72,70
1,76,Hip,126.79703319231469,50,2.2246918880428836,70,76
1,76,Hip,125.7576493918424,47,1.6701494656536227,65,76
2,74,Hip,125.95873998032418,50,1.9162331509021442,73,74
2,74,Hip,125.5287426547513,39,1.5075048877471176,66,74
3,74,Hip,126.55779381756714,41,1.60535509070084,62,74
3,74,Hip,126.8442899594318,45,1.5259398628682561,70,74
4,71,Hip,126.28248398069172,40,1.6775514942684566,61,71
4,71,Hip,125.8021857617762,43,1.762085298527893,69,71
5,70,Hip,125.53619381698971,44,1.9923841955618116,67,70
5,70,Hip,125.15496745031746,47,2.1059795219275372,75,70
